id_transaccion,fecha_compra,id_cliente,categoria_producto,precio_cop,metodo_pago,canal,dispositivo,ciudad_envio,tiempo_entrega_dias,calificacion_cliente_1a5,producto_devuelto
TXN-0005239,2022-12-28,14770.0,Hogar,159466.0,Tarjeta crédito,Sitio web,iOS,Pereira,5.0,5,No
TXN-0000262,2023-10-14,53229.0,Alimentos,72452.0,Tarjeta débito,Sitio web,Desktop,Cali,3.0,5,No
,2022-05-04,19901.0,Hogar,162086.0,PSE,Sitio web,iOS,Cali,3.0,5,No
TXN-0005784,2024-11-05,49799.0,ALIMENTOS,41165.0,PSE,App móvil,Desktop,Bogotá,2.0,5,No
TXN-0001234,2022-05-16,31720.0,Tecnología,1138137.0,Tarjeta débito,Sitio web,Android,Bogotá,4.0,5,No
TXN-0006449,2022-03-05,55252.0,Belleza,145836.0,Tarjeta débito,App móvil,Desktop,Bogotá,3.0,5,No
TXN-0006413,2023-04-15,24032.0,Alimentos,18991.0,PSE,Sitio web,Desktop,Pereira,1.0,5,No
TXN-0000921,2024-10-09,27241.0,Libros,52010.0,Billetera digital,App móvil,iOS,Cartagena,6.0,5,No
TXN-0000159,2022-12-23,16367.0,Electrónica,539952.0,Tarjeta crédito,App móvil,Android,Manizales,3.0,5,No
TXN-0007744,2024-02-18,42036.0,Deportes,210820.0,Billetera digital,Sitio web,Android,Bogotá,5.0,5,No
TXN-0002626,2022-04-26,39355.0,Deportes,119067.0,PSE,App móvil,Desktop,Cali,3.0,5,No
TXN-0006757,2024-07-14,25510.0,Alimentos,55008.0,Contraentrega,App móvil,Android,Ibagué,2.0,5,No
TXN-0000095,2022-04-05,35663.0,Deportes,132332.0,Tarjeta débito,App móvil,Android,Medellín,1.0,5,Sí
TXN-0003202,2023-10-18,22224.0,Hogar,228755.0,Contraentrega,App móvil,iOS,Cali,6.0,5,No
TXN-0006929,2022-11-16,39785.0,Moda,104802.0,Tarjeta débito,Sitio web,iOS,Medellín,3.0,5,No
TXN-0001093,2024-06-07,20968.0,Hogar,261015.0,Billetera digital,App móvil,Android,Bogotá,6.0,5,No
TXN-0003533,2023-11-03,23406.0,Alimentos,48707.0,Tarjeta crédito,Sitio web,Android,Bogotá,3.0,5,No
TXN-0007405,2024-03-11,53989.0,Belleza,11611.0,Contraentrega,App móvil,iOS,Cali,4.0,5,No
TXN-0007394,2022-12-09,37474.0,Electrónica,847082.0,Tarjeta crédito,App móvil,iOS,Cúcuta,3.0,5,No
TXN-0001988,2023-05-25,12694.0,Alimentos,41301.0,Tarjeta débito,Sitio web,Android,Cali,6.0,5,Sí
TXN-0002718,2023-04-28,35151.0,Belleza,68008.0,Contraentrega,Sitio web,Android,Bogotá,8.0,3,No
